○,1,49,49,12,11,13,12,0,10,13,9,14
、,1,51,47,16,11,0,8,23,15,0,6,17
〇,1,49,49,12,11,13,12,0,11,13,11,13
〡,1,11,87,17,15,2,17,15,0,17,14,0
〢,2,30,68,14,0,20,18,0,18,8,0,18
〣,3,41,57,11,6,12,11,12,11,11,10,11
〤,2,45,53,5,0,20,1,20,22,8,11,8
〥,1,40,58,11,6,11,13,9,13,13,5,14
〦,2,72,26,0,12,0,0,11,0,23,27,24
〧,3,59,39,0,12,0,14,17,14,14,13,14
〨,4,55,43,3,13,4,13,14,12,13,13,11
〩,4,47,51,14,7,12,4,17,10,7,13,12
・,1,50,48,10,10,10,10,10,10,10,10,10
㐄,3,48,50,5,21,7,19,21,8,0,15,0
㐅,2,48,50,4,0,17,1,25,9,9,7,23
㐆,6,35,63,9,10,12,11,12,13,10,4,13
㐌,5,49,49,10,7,4,14,13,10,10,12,16
㐖,7,50,48,13,13,0,13,17,0,12,18,11
㐜,9,50,48,11,15,3,15,11,7,13,9,12
㐡,11,50,49,10,12,11,9,14,10,7,12,11
㐤,12,50,48,10,10,9,9,15,11,7,13,12
㐫,6,49,49,4,10,6,10,17,11,12,10,15
㐰,5,48,50,10,9,10,14,9,9,9,12,12
㐷,5,49,49,9,9,10,15,8,14,9,4,17
㐺,6,49,49,9,8,7,15,13,10,8,14,10
㑇,7,48,50,10,12,8,15,10,16,9,4,13
㑩,10,49,49,8,15,16,12,12,11,8,10,4
㒳,7,48,50,10,10,10,13,15,15,7,6,10
㒸,9,49,49,5,14,9,7,19,6,6,18,11
㔾,3,48,50,13,4,12,10,6,11,16,7,13
㕥,5,48,50,17,11,0,23,16,2,8,4,15
㕻,8,47,51,4,16,6,9,17,14,12,6,13
㖊,9,48,50,14,7,12,19,9,16,1,7,10
㖞,10,49,49,12,9,10,16,14,10,2,9,13
㗂,12,48,50,11,10,10,16,13,12,2,10,12
㗎,12,48,50,10,12,10,16,14,12,3,11,8
㚻,8,50,48,10,14,11,10,15,11,5,12,7
㛂,9,49,49,10,10,9,11,16,12,9,12,7
㝄,12,49,49,10,7,10,10,13,15,14,2,14
㝇,16,49,49,12,11,11,10,11,11,13,4,11
㝉,4,52,46,8,24,12,13,0,8,7,8,12
㝵,8,49,49,10,13,11,12,15,14,5,7,8
㞎,7,50,48,10,8,11,11,16,11,9,9,10
㞙,11,49,49,9,12,11,8,13,10,9,14,9
㞞,14,50,48,9,10,11,10,13,9,6,14,13
㢲,9,49,49,10,14,11,9,10,14,11,5,13
㢴,9,47,51,8,6,9,14,12,10,12,14,11
㤅,8,48,50,9,14,8,5,15,8,14,10,12
㥁,12,48,50,5,14,7,15,14,10,11,10,9
㥏,11,49,49,9,11,11,10,14,14,7,9,10
㥯,14,49,49,8,12,10,9,12,11,10,13,11
㦂,15,49,49,11,11,11,9,12,11,11,9,10
㧑,7,50,48,11,11,9,13,10,12,11,6,12
㧯,9,50,48,10,10,8,12,11,10,10,12,11
㧰,9,49,49,11,9,8,13,10,12,10,9,14
㨫,13,50,48,9,12,9,10,13,8,9,13,14
㩐,15,49,49,10,13,12,11,10,14,9,6,11
㪃,9,49,49,6,7,12,17,13,11,2,13,13
㪋,11,49,49,10,8,11,11,12,11,10,9,13
㫺,12,49,49,11,8,11,11,12,13,10,8,11
㬎,14,49,49,11,15,11,11,10,10,9,11,9
㮎,13,49,49,10,9,6,14,11,10,8,13,13
㮚,13,49,49,4,12,8,11,18,13,6,14,9
㮸,14,49,49,11,8,10,15,9,12,9,12,12
㯳,16,49,49,9,13,9,13,15,9,7,12,9
㱩,12,49,49,8,10,11,16,12,12,7,10,11
㱮,13,50,48,7,11,12,15,12,12,6,10,10
㱾,10,50,48,10,9,8,11,14,12,8,12,12
㲈,16,49,49,12,13,11,11,11,12,9,8,9
㲋,9,48,50,9,13,3,12,7,9,13,15,14
㲱,19,51,47,7,11,8,11,14,10,7,14,14
㲾,7,49,49,7,12,8,8,20,7,8,14,13
㳂,7,49,49,8,8,7,11,13,10,12,14,11
㳮,10,49,49,6,12,10,8,15,11,12,11,10
㵪,16,48,50,6,13,9,9,15,9,12,13,8
㵮,16,49,49,6,12,10,9,16,13,9,14,8
㶉,19,49,49,6,13,9,11,15,10,11,9,10
㶶,10,50,48,9,12,9,12,13,9,10,12,9
㶸,10,49,49,7,10,8,11,11,13,8,14,13
㷖,13,49,49,10,10,14,12,11,10,9,11,9
㷭,15,49,49,7,15,11,8,18,11,7,8,10
㹠,7,49,49,12,9,9,14,12,12,10,6,10
㹢,8,49,49,9,11,7,12,12,13,10,12,10
㹴,10,50,48,10,10,12,12,12,13,10,10,7
㺍,13,50,48,9,10,12,14,9,8,12,11,11
㺢,19,50,48,9,12,10,11,11,10,9,11,11
㺵,8,49,49,9,13,7,13,14,6,12,10,11
㻅,10,50,48,9,9,8,12,11,12,9,13,11
㻽,17,49,49,7,12,12,9,13,14,6,10,12
㽮,20,50,48,6,12,7,13,14,12,9,14,9
㿝,7,43,55,7,8,9,12,12,13,13,8,13
䁖,14,48,50,11,11,10,15,12,10,9,8,9
䂖,6,49,49,5,15,11,16,6,16,11,5,11
䂲,12,48,50,9,10,13,11,14,13,9,9,9
䂶,12,49,49,6,10,10,14,11,14,8,10,13
䃉,14,50,48,7,11,10,11,16,15,6,12,9
䅵,15,49,49,11,11,10,15,10,6,8,13,13
䇲,12,48,50,12,12,9,7,14,10,8,11,12
䉤,19,49,49,11,9,7,13,13,11,12,10,10
䌷,11,48,50,9,5,11,14,9,16,7,9,14
䌸,10,49,49,11,11,7,17,14,11,9,4,12
䌹,11,48,50,8,10,11,14,14,14,7,8,10
䌽,14,49,49,9,10,11,14,13,8,9,12,9
䍁,19,50,48,8,8,10,12,9,14,9,11,14
䍃,10,49,49,7,15,5,14,14,7,10,13,11
䍹,16,49,49,10,12,9,12,13,12,6,9,11
䒗,6,49,49,8,14,9,11,12,9,11,11,9
䓕,11,49,49,7,16,9,8,8,8,10,11,17
䔢,14,48,50,11,10,10,11,14,12,5,11,10
䕭,19,48,50,7,9,11,14,10,11,12,9,12
䖟,9,47,51,8,8,5,9,14,10,12,15,14
䖸,13,48,50,11,13,9,10,12,11,9,12,10
䗈,14,49,49,9,8,6,15,15,11,9,12,10
䗖,15,49,49,9,10,12,15,12,12,8,8,9
䗥,17,50,48,10,10,11,15,12,9,9,11,9
䗪,17,50,48,8,13,9,9,15,8,12,12,10
䗶,18,49,49,8,10,10,14,12,12,7,10,12
䙓,16,50,48,9,14,14,13,10,9,6,12,9
䛟,14,49,49,9,6,11,10,13,15,12,11,9
䜣,11,49,49,6,10,7,13,12,15,12,8,10
䜩,23,50,48,4,11,10,9,15,15,9,9,13
䝓,22,50,48,7,10,10,12,12,12,9,11,13
䝙,11,50,48,11,11,7,12,10,12,9,15,8
䞓,14,50,48,9,8,11,14,14,12,11,8,9
䟆,18,49,49,7,8,13,10,11,14,11,8,13
䟖,10,49,49,7,6,7,14,11,14,14,8,14
䠀,15,49,49,6,9,10,12,13,14,12,9,11
䠞,18,50,48,7,8,10,11,13,12,10,13,13
䤈,16,50,48,12,9,7,13,8,8,9,16,13
䥑,19,49,49,8,8,14,12,12,13,11,7,9
䥯,23,50,48,7,11,11,10,13,11,9,13,11
䦉,13,50,48,8,10,14,10,12,14,8,12,8
䦕,14,47,51,13,11,13,10,14,10,9,6,9
䩄,13,51,47,10,10,9,16,10,10,12,9,9
䩦,16,49,49,11,13,9,6,18,10,7,14,8
䫏,17,50,48,9,11,11,10,13,10,8,13,10
䬠,17,49,49,10,12,10,8,11,9,8,12,15
䬪,13,49,49,11,8,8,13,17,12,11,8,5
䯄,17,49,49,10,10,10,9,11,14,10,11,11
䯝,18,49,49,11,10,10,11,15,11,8,12,8
䲔,24,50,48,10,8,11,11,12,11,9,11,13
䲠,20,49,49,12,8,9,14,16,12,8,10,8
䳗,18,50,48,8,13,9,8,10,12,11,11,13
䴔,17,49,49,8,10,12,10,14,13,7,7,14
䴕,17,49,49,10,12,13,9,11,11,7,8,15
䴘,21,49,49,9,12,9,13,12,10,12,8,10
䴙,24,49,49,10,11,9,13,14,9,11,8,10
䵹,24,50,48,11,10,9,11,12,9,8,14,12
䶑,30,49,49,9,9,10,13,13,10,8,10,12
䶮,20,49,49,3,16,12,7,14,11,7,12,12
一,1,89,9,10,10,10,10,10,10,10,10,10
丁,2,52,46,17,27,17,0,16,0,0,20,0
丂,2,50,48,16,15,11,8,12,15,0,6,12
七,2,51,47,0,14,6,13,21,7,0,19,15
丄,2,51,47,0,18,0,0,18,0,16,28,16
丅,2,51,47,17,29,17,0,17,0,0,17,0
丆,2,59,39,12,26,17,1,21,0,20,1,0
万,3,51,47,10,17,11,2,14,14,13,5,11
丈,3,48,50,10,18,9,8,15,0,12,14,12
三,3,54,44,9,13,10,7,13,7,11,11,11
上,3,51,47,0,14,0,0,21,10,13,23,13
下,3,51,47,14,25,14,0,17,14,0,13,0
丌,3,51,47,14,18,16,6,8,7,14,4,7
不,4,51,47,9,21,11,13,16,14,0,11,0
与,3,49,49,9,11,6,13,15,15,4,12,11
丏,4,50,48,11,17,14,11,14,14,1,0,12
丐,4,50,48,11,17,13,13,13,11,3,2,12
丑,4,52,46,5,14,9,9,12,14,10,10,13
丒,4,50,48,10,12,12,5,14,8,12,8,13
专,4,49,49,4,19,5,7,23,16,0,16,5
且,5,52,46,9,10,9,9,10,9,13,10,13
